date	close
1-Jan-99	1765  
1-Jan-00	1800 
1-Jan-01	1829 
1-Jan-02	1877 
1-Jan-03	1906 
1-Jan-04	2019 
1-Jan-05	2038 
1-Jan-06	2091 
1-Jan-07	2159 
1-Jan-08	2205 
1-Jan-09	2119 
1-Jan-10	2281 
